ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
974,2025-02-12 15:18:47.577664205,2025-02-12 15:25:26.934251794,AAL,master,Psychological safety in team work,Leadership and project management,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Ethical technology assessment,Professional communication with external partners,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,,3,,1,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,2025-02-10 12:59:45.056073921,2025-02-10 13:02:40.973694994,AAL,master,Psychological safety in team work,Creativity and entrepeneurship,Professional communication with external partners,Clarification of individual professional competences,Leadership and project management,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,2025-02-13 12:34:00.852140891,2025-02-13 12:39:26.096276038,AAL,master,Creativity and entrepeneurship,Clarification of individual professional competences,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Professional identity development,Professional communication with external partners,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,2025-02-11 16:22:27.393869112,2025-02-11 17:09:43.218535189,AAL,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Professional identity development,Creativity and entrepeneurship,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Clarification of individual professional competences,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,2025-02-09 15:14:10.594820450,2025-02-09 15:23:05.011386858,AAL,master,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Ethical technology assessment,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,2025-02-12 09:53:09.220033300,2025-02-12 09:56:10.508878982,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Ethical technology assessment,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Professional identity development,Leadership and project management,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,2025-02-10 12:41:18.783306038,2025-02-10 15:37:44.097873035,AAL,master,Clarification of individual professional competences,Leadership and project management,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Professional identity development,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,2025-02-12 12:55:45.229094135,2025-02-12 12:57:21.917056578,AAL,master,Digital and hybrid practices in collaborative work,Professional communication with external partners,Creativity and entrepeneurship,Professional identity development,Clarification of individual professional competences,Leadership and project management,Ethical technology assessment,Psychological safety in team work,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,2025-02-11 11:06:42.850383476,2025-02-11 11:08:33.784743532,AAL,master,Ethical technology assessment,Digital and hybrid practices in collaborative work,Psychological safety in team work,Leadership and project management,Creativity and entrepeneurship,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,,,,,,,,,,,,,,,1,3,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,2025-02-13 07:05:00.292858532,2025-02-13 07:08:32.710957133,AAL,master,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Creativity and entrepeneurship,Clarification of individual professional competences,Professional identity development,Leadership and project management,Professional communication with external partners,,,,,,,,,,,,,2,,3,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,2025-02-07 15:38:15.681034928,2025-02-07 15:38:56.766615341,AAL,master,Professional identity development,Psychological safety in team work,Creativity and entrepeneurship,Professional communication with external partners,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,2025-02-10 09:32:27.366672129,2025-02-10 09:34:17.551006138,AAL,master,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Ethical technology assessment,Creativity and entrepeneurship,Clarification of individual professional competences,Professional identity development,Leadership and project management,,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,2025-02-12 15:56:29.313970393,2025-02-12 15:57:22.023175309,AAL,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Ethical technology assessment,Clarification of individual professional competences,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,3,,,,1,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,2025-02-11 10:37:00.562093857,2025-02-11 10:37:03.562093857,AAL,master,Leadership and project management,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,Psychological safety in team work,Clarification of individual professional competences,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,2025-02-13 08:39:54.726887729,2025-02-13 08:42:18.375111524,AAL,master,Digital and hybrid practices in collaborative work,Professional identity development,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Creativity and entrepeneurship,Leadership and project management,Clarification of individual professional competences,,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,2025-02-06 12:09:57.116477207,2025-02-06 12:12:30.789555135,AAL,master,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Psychological safety in team work,Ethical technology assessment,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Leadership and project management,,,,,,,,,,,,,2,,,,1,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,2025-02-05 12:08:36.039219046,2025-02-05 12:14:27.379950847,AAL,master,Professional communication with external partners,Psychological safety in team work,Leadership and project management,Ethical technology assessment,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Clarification of individual professional competences,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,2025-02-13 12:22:35.063495749,2025-02-13 12:23:42.371149241,AAL,master,Clarification of individual professional competences,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional identity development,Ethical technology assessment,Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,3,1,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,2025-02-12 20:30:12.690348293,2025-02-12 20:56:41.706523689,AAL,master,Professional identity development,Ethical technology assessment,Professional communication with external partners,Clarification of individual professional competences,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Psychological safety in team work,,,,,,,,,,,,,,,2,,3,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,2025-02-10 16:18:54.935311535,2025-02-10 17:18:42.971165291,AAL,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Ethical technology assessment,Clarification of individual professional competences,Leadership and project management,Creativity and entrepeneurship,Psychological safety in team work,Professional communication with external partners,,,,,,,,,,,,,1,,3,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,2025-02-11 10:51:37.780420710,2025-02-11 11:01:03.728142192,AAL,master,Clarification of individual professional competences,Ethical technology assessment,Leadership and project management,Psychological safety in team work,Professional identity development,Professional communication with external partners,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,2025-02-12 12:45:39.980252277,2025-02-12 12:55:04.492424743,AAL,master,Professional communication with external partners,Leadership and project management,Psychological safety in team work,Clarification of individual professional competences,Ethical technology assessment,Digital and hybrid practices in collaborative work,Professional identity development,Creativity and entrepeneurship,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,2025-02-11 15:58:59.917210637,2025-02-11 16:09:15.366924557,AAL,master,Professional communication with external partners,Digital and hybrid practices in collaborative work,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Creativity and entrepeneurship,Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,2025-02-10 11:31:44.034771214,2025-02-10 11:34:56.068041415,AAL,master,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Clarification of individual professional competences,Professional identity development,Creativity and entrepeneurship,Leadership and project management,Ethical technology assessment,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,2025-02-11 11:24:18.846903150,2025-02-11 11:29:21.415565870,AAL,master,Ethical technology assessment,Creativity and entrepeneurship,Leadership and project management,Psychological safety in team work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Professional communication with external partners,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,2025-02-13 15:54:37.104790629,2025-02-13 15:57:04.997929883,AAL,master,Professional identity development,Leadership and project management,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Creativity and entrepeneurship,Psychological safety in team work,Digital and hybrid practices in collaborative work,,,,,,,,,,,,,,,,,3,2,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
